127.0.0.1 - - [11/Apr/2022:11:39:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:33 +0530] "GET /springmvc/contact HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:42 +0530] "GET /springmvc/contact HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:45:29 +0530] "GET /springmvc/contact HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:54:46 +0530] "GET /springmvc/contact HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:55:10 +0530] "GET /springmvc/contact HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:55:11 +0530] "GET /springmvc/contact HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:56:15 +0530] "GET /springmvc/contact HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:56:16 +0530] "GET /springmvc/contact HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:57:23 +0530] "GET /springmvc/contact HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:57:25 +0530] "GET /springmvc/contact HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:00:33 +0530] "GET /springmvc/contact HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:02:41 +0530] "GET /springmvc/contact HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:04:29 +0530] "GET /springmvc/contact HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:07:46 +0530] "GET /springmvc/contact HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:07:47 +0530] "GET /springmvc/contact HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:07:58 +0530] "POST /processform HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:49:17 +0530] "POST /processform HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:50:02 +0530] "GET /contact HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:50:20 +0530] "GET /contact HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:53:26 +0530] "GET /springmvc/contact HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:54:19 +0530] "POST /springmvc/processform HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [11/Apr/2022:12:55:44 +0530] "POST /springmvc/processform HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [11/Apr/2022:13:44:40 +0530] "POST /springmvc/processform HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [11/Apr/2022:17:24:44 +0530] "GET /springmvc/contact HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [11/Apr/2022:17:24:44 +0530] "POST /springmvc/processform HTTP/1.1" 500 5100
0:0:0:0:0:0:0:1 - - [11/Apr/2022:17:25:10 +0530] "POST /springmvc/processform HTTP/1.1" 500 5100
0:0:0:0:0:0:0:1 - - [11/Apr/2022:17:28:09 +0530] "GET /springmvc/contact HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [11/Apr/2022:17:28:32 +0530] "POST /springmvc/processform HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [11/Apr/2022:17:29:18 +0530] "GET /springmvc/contact HTTP/1.1" 200 2223
